chapter,pos_tag,count,percentage
86,ADV,12,3.2
86,DET,4,1.07
86,NOUN,270,72.0
86,NUM,3,0.8
86,PROPN,19,5.07
86,SCONJ,2,0.53
86,VERB,55,14.67
87,ADJ,6,1.92
87,ADP,2,0.64
87,ADV,8,2.56
87,DET,1,0.32
87,NOUN,237,75.96
87,PART,1,0.32
87,PRON,4,1.28
87,SCONJ,4,1.28
87,VERB,49,15.71
88,ADJ,7,1.51
88,ADP,3,0.65
88,ADV,6,1.29
88,AUX,7,1.51
88,DET,3,0.65
88,NOUN,337,72.47
88,NUM,5,1.08
88,PART,1,0.22
88,PRON,35,7.53
88,PROPN,1,0.22
88,SCONJ,3,0.65
88,VERB,57,12.26
89,ADJ,10,2.79
89,ADP,2,0.56
89,ADV,4,1.11
89,AUX,3,0.84
89,CCONJ,1,0.28
89,DET,2,0.56
89,NOUN,251,69.92
89,NUM,2,0.56
89,PRON,8,2.23
89,PROPN,3,0.84
89,SCONJ,12,3.34
89,VERB,61,16.99
90,ADJ,2,0.57
90,ADV,8,2.3
90,AUX,1,0.29
90,DET,2,0.57
90,NOUN,267,76.72
90,NUM,1,0.29
90,PRON,7,2.01
90,SCONJ,1,0.29
90,VERB,59,16.95
91,ADJ,6,1.54
91,ADP,2,0.51
91,ADV,9,2.31
91,AUX,7,1.8
91,CCONJ,1,0.26
91,DET,4,1.03
91,NOUN,266,68.38
91,NUM,2,0.51
91,PROPN,5,1.29
91,SCONJ,4,1.03
91,VERB,83,21.34
92,ADJ,7,1.62
92,ADV,7,1.62
92,AUX,3,0.69
92,NOUN,293,67.67
92,NUM,3,0.69
92,PRON,4,0.92
92,PROPN,2,0.46
92,SCONJ,4,0.92
92,VERB,110,25.4
93,ADJ,4,0.95
93,ADP,4,0.95
93,ADV,8,1.9
93,AUX,5,1.19
93,DET,1,0.24
93,NOUN,300,71.26
93,NUM,2,0.48
93,PRON,10,2.38
93,PROPN,1,0.24
93,SCONJ,1,0.24
93,VERB,85,20.19
94,ADJ,4,1.05
94,ADP,1,0.26
94,ADV,2,0.53
94,DET,6,1.58
94,NOUN,276,72.63
94,NUM,2,0.53
94,PRON,16,4.21
94,PROPN,7,1.84
94,SCONJ,3,0.79
94,VERB,63,16.58
95,ADJ,8,2.6
95,ADP,3,0.97
95,ADV,5,1.62
95,AUX,1,0.32
95,CCONJ,2,0.65
95,DET,2,0.65
95,NOUN,207,67.21
95,PRON,7,2.27
95,SCONJ,8,2.6
95,VERB,65,21.1
96,ADJ,5,0.92
96,ADP,1,0.18
96,ADV,13,2.38
96,AUX,3,0.55
96,CCONJ,4,0.73
96,DET,13,2.38
